alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,København,Hørsholm,2016,4,2
0-4 år,København,Hørsholm,2017,3,2
0-4 år,København,Rudersdal,2006,7,12
0-4 år,København,Rudersdal,2007,11,9
0-4 år,København,Rudersdal,2008,12,9
0-4 år,København,Rudersdal,2009,10,11
0-4 år,København,Rudersdal,2010,12,8
0-4 år,København,Rudersdal,2011,10,14
0-4 år,København,Rudersdal,2012,12,13
0-4 år,København,Rudersdal,2013,6,4
0-4 år,København,Rudersdal,2014,12,9
0-4 år,København,Rudersdal,2015,6,8
0-4 år,København,Rudersdal,2016,8,12
0-4 år,København,Rudersdal,2017,12,15
0-4 år,København,Bornholm,2006,5,2
0-4 år,København,Bornholm,2007,9,3
0-4 år,København,Bornholm,2008,3,3
0-4 år,København,Bornholm,2009,6,2
0-4 år,København,Bornholm,2010,2,5
0-4 år,København,Bornholm,2011,2,2
0-4 år,København,Bornholm,2012,5,4
0-4 år,København,Bornholm,2013,3,1
0-4 år,København,Bornholm,2014,5,5
0-4 år,København,Bornholm,2015,2,3
0-4 år,København,Bornholm,2016,2,3
0-4 år,København,Bornholm,2017,1,6
0-4 år,København,Christiansø,2006,0,0
0-4 år,København,Christiansø,2007,0,0
0-4 år,København,Christiansø,2008,0,0
0-4 år,København,Christiansø,2009,0,0
0-4 år,København,Christiansø,2010,0,0
0-4 år,København,Christiansø,2011,0,0
0-4 år,København,Christiansø,2012,0,0
0-4 år,København,Christiansø,2013,0,0
0-4 år,København,Christiansø,2014,0,0
0-4 år,København,Christiansø,2015,0,0
0-4 år,København,Christiansø,2016,0,0
0-4 år,København,Christiansø,2017,0,0
0-4 år,København,Greve,2006,10,6
0-4 år,København,Greve,2007,7,7
0-4 år,København,Greve,2008,11,4
0-4 år,København,Greve,2009,10,7
0-4 år,København,Greve,2010,2,7
0-4 år,København,Greve,2011,2,4
0-4 år,København,Greve,2012,5,9
0-4 år,København,Greve,2013,5,6
0-4 år,København,Greve,2014,3,5
0-4 år,København,Greve,2015,8,5
0-4 år,København,Greve,2016,5,5
0-4 år,København,Greve,2017,5,2
0-4 år,København,Køge,2006,9,7
0-4 år,København,Køge,2007,10,7
0-4 år,København,Køge,2008,9,5
0-4 år,København,Køge,2009,10,13
0-4 år,København,Køge,2010,9,6
0-4 år,København,Køge,2011,5,3
0-4 år,København,Køge,2012,7,5
0-4 år,København,Køge,2013,5,11
0-4 år,København,Køge,2014,8,4
0-4 år,København,Køge,2015,10,8
0-4 år,København,Køge,2016,4,9
0-4 år,København,Køge,2017,5,7
0-4 år,København,Lejre,2006,2,3
0-4 år,København,Lejre,2007,6,1
0-4 år,København,Lejre,2008,1,1
0-4 år,København,Lejre,2009,1,3
0-4 år,København,Lejre,2010,0,1
0-4 år,København,Lejre,2011,4,4
0-4 år,København,Lejre,2012,2,3
0-4 år,København,Lejre,2013,6,4
0-4 år,København,Lejre,2014,1,1
0-4 år,København,Lejre,2015,1,4
0-4 år,København,Lejre,2016,1,1
0-4 år,København,Lejre,2017,6,2
0-4 år,København,Roskilde,2006,7,1
0-4 år,København,Roskilde,2007,10,9
0-4 år,København,Roskilde,2008,12,8
0-4 år,København,Roskilde,2009,6,7
0-4 år,København,Roskilde,2010,9,11
0-4 år,København,Roskilde,2011,9,9
0-4 år,København,Roskilde,2012,4,6
0-4 år,København,Roskilde,2013,10,9
0-4 år,København,Roskilde,2014,3,7
0-4 år,København,Roskilde,2015,10,10
0-4 år,København,Roskilde,2016,11,15
0-4 år,København,Roskilde,2017,10,8
0-4 år,København,Solrød,2006,4,0
0-4 år,København,Solrød,2007,2,0
0-4 år,København,Solrød,2008,1,3
0-4 år,København,Solrød,2009,2,0
0-4 år,København,Solrød,2010,3,1
0-4 år,København,Solrød,2011,1,1
0-4 år,København,Solrød,2012,3,4
0-4 år,København,Solrød,2013,1,1
0-4 år,København,Solrød,2014,3,5
0-4 år,København,Solrød,2015,1,3
0-4 år,København,Solrød,2016,4,1
0-4 år,København,Solrød,2017,5,3
0-4 år,København,Faxe,2006,1,6
0-4 år,København,Faxe,2007,7,4
0-4 år,København,Faxe,2008,1,2
0-4 år,København,Faxe,2009,3,6
0-4 år,København,Faxe,2010,6,6
0-4 år,København,Faxe,2011,2,5
0-4 år,København,Faxe,2012,7,3
0-4 år,København,Faxe,2013,7,4
0-4 år,København,Faxe,2014,0,1
0-4 år,København,Faxe,2015,4,3
0-4 år,København,Faxe,2016,6,1
0-4 år,København,Faxe,2017,3,2
0-4 år,København,Guldborgsund,2006,6,4
0-4 år,København,Guldborgsund,2007,15,4
0-4 år,København,Guldborgsund,2008,8,6
0-4 år,København,Guldborgsund,2009,2,5
0-4 år,København,Guldborgsund,2010,3,4
0-4 år,København,Guldborgsund,2011,5,5
0-4 år,København,Guldborgsund,2012,5,4
0-4 år,København,Guldborgsund,2013,2,3
0-4 år,København,Guldborgsund,2014,0,4
0-4 år,København,Guldborgsund,2015,5,2
0-4 år,København,Guldborgsund,2016,6,6
0-4 år,København,Guldborgsund,2017,9,4
0-4 år,København,Holbæk,2006,10,10
0-4 år,København,Holbæk,2007,15,14
0-4 år,København,Holbæk,2008,6,7
0-4 år,København,Holbæk,2009,7,9
0-4 år,København,Holbæk,2010,5,12
0-4 år,København,Holbæk,2011,7,5
0-4 år,København,Holbæk,2012,8,12
0-4 år,København,Holbæk,2013,7,2
0-4 år,København,Holbæk,2014,5,7
0-4 år,København,Holbæk,2015,7,7
0-4 år,København,Holbæk,2016,6,7
0-4 år,København,Holbæk,2017,7,7
0-4 år,København,Kalundborg,2006,4,5
0-4 år,København,Kalundborg,2007,5,3
0-4 år,København,Kalundborg,2008,4,1
0-4 år,København,Kalundborg,2009,3,0
0-4 år,København,Kalundborg,2010,5,5
0-4 år,København,Kalundborg,2011,1,4
0-4 år,København,Kalundborg,2012,1,2
0-4 år,København,Kalundborg,2013,1,3
0-4 år,København,Kalundborg,2014,3,6
0-4 år,København,Kalundborg,2015,1,8
0-4 år,København,Kalundborg,2016,2,3
0-4 år,København,Kalundborg,2017,4,2
0-4 år,København,Lolland,2006,4,2
0-4 år,København,Lolland,2007,2,5
0-4 år,København,Lolland,2008,3,8
0-4 år,København,Lolland,2009,11,1
0-4 år,København,Lolland,2010,3,1
0-4 år,København,Lolland,2011,4,2
0-4 år,København,Lolland,2012,2,2
0-4 år,København,Lolland,2013,2,1
0-4 år,København,Lolland,2014,2,1
0-4 år,København,Lolland,2015,2,1
0-4 år,København,Lolland,2016,1,6
0-4 år,København,Lolland,2017,4,0
0-4 år,København,Næstved,2006,10,7
0-4 år,København,Næstved,2007,10,10
0-4 år,København,Næstved,2008,6,8
0-4 år,København,Næstved,2009,12,8
0-4 år,København,Næstved,2010,4,7
0-4 år,København,Næstved,2011,6,6
0-4 år,København,Næstved,2012,6,8
0-4 år,København,Næstved,2013,5,4
0-4 år,København,Næstved,2014,3,6
0-4 år,København,Næstved,2015,7,4
0-4 år,København,Næstved,2016,7,4
0-4 år,København,Næstved,2017,4,5
0-4 år,København,Odsherred,2006,1,4
0-4 år,København,Odsherred,2007,1,5
0-4 år,København,Odsherred,2008,0,3
0-4 år,København,Odsherred,2009,3,3
0-4 år,København,Odsherred,2010,2,6
0-4 år,København,Odsherred,2011,1,1
0-4 år,København,Odsherred,2012,5,3
0-4 år,København,Odsherred,2013,2,1
0-4 år,København,Odsherred,2014,2,2
0-4 år,København,Odsherred,2015,4,4
0-4 år,København,Odsherred,2016,4,2
0-4 år,København,Odsherred,2017,3,0
0-4 år,København,Ringsted,2006,2,0
0-4 år,København,Ringsted,2007,4,6
0-4 år,København,Ringsted,2008,7,3
0-4 år,København,Ringsted,2009,4,7
0-4 år,København,Ringsted,2010,1,4
0-4 år,København,Ringsted,2011,5,3
0-4 år,København,Ringsted,2012,6,5
0-4 år,København,Ringsted,2013,0,2
0-4 år,København,Ringsted,2014,2,6
0-4 år,København,Ringsted,2015,2,3
0-4 år,København,Ringsted,2016,6,3
0-4 år,København,Ringsted,2017,4,1
0-4 år,København,Slagelse,2006,3,8
0-4 år,København,Slagelse,2007,11,4
0-4 år,København,Slagelse,2008,5,7
0-4 år,København,Slagelse,2009,8,7
0-4 år,København,Slagelse,2010,9,6
0-4 år,København,Slagelse,2011,7,2
0-4 år,København,Slagelse,2012,9,7
0-4 år,København,Slagelse,2013,5,8
0-4 år,København,Slagelse,2014,2,4
0-4 år,København,Slagelse,2015,5,9
0-4 år,København,Slagelse,2016,10,11
0-4 år,København,Slagelse,2017,6,5
0-4 år,København,Sorø,2006,1,2
0-4 år,København,Sorø,2007,4,0
0-4 år,København,Sorø,2008,3,2
0-4 år,København,Sorø,2009,1,7
0-4 år,København,Sorø,2010,0,0
0-4 år,København,Sorø,2011,6,2
0-4 år,København,Sorø,2012,1,2
0-4 år,København,Sorø,2013,0,1
0-4 år,København,Sorø,2014,6,3
0-4 år,København,Sorø,2015,3,2
0-4 år,København,Sorø,2016,0,2
0-4 år,København,Sorø,2017,1,1
0-4 år,København,Stevns,2006,3,1
0-4 år,København,Stevns,2007,1,1
0-4 år,København,Stevns,2008,2,0
0-4 år,København,Stevns,2009,4,0
0-4 år,København,Stevns,2010,1,3
0-4 år,København,Stevns,2011,3,1
0-4 år,København,Stevns,2012,1,1
0-4 år,København,Stevns,2013,1,6
0-4 år,København,Stevns,2014,2,2
0-4 år,København,Stevns,2015,1,2
0-4 år,København,Stevns,2016,2,2
0-4 år,København,Stevns,2017,4,7
0-4 år,København,Vordingborg,2006,2,9
0-4 år,København,Vordingborg,2007,6,4
0-4 år,København,Vordingborg,2008,5,2
0-4 år,København,Vordingborg,2009,8,7
0-4 år,København,Vordingborg,2010,5,3
0-4 år,København,Vordingborg,2011,4,4
0-4 år,København,Vordingborg,2012,2,2
0-4 år,København,Vordingborg,2013,0,3
0-4 år,København,Vordingborg,2014,1,6
0-4 år,København,Vordingborg,2015,0,2
0-4 år,København,Vordingborg,2016,3,2
0-4 år,København,Vordingborg,2017,1,4
0-4 år,København,Assens,2006,0,2
0-4 år,København,Assens,2007,0,0
0-4 år,København,Assens,2008,1,0
0-4 år,København,Assens,2009,0,2
0-4 år,København,Assens,2010,0,3
0-4 år,København,Assens,2011,1,0
0-4 år,København,Assens,2012,0,1
0-4 år,København,Assens,2013,0,0
0-4 år,København,Assens,2014,0,0
0-4 år,København,Assens,2015,0,0
0-4 år,København,Assens,2016,1,1
0-4 år,København,Assens,2017,1,1
0-4 år,København,Faaborg-Midtfyn,2006,2,1
0-4 år,København,Faaborg-Midtfyn,2007,0,0
0-4 år,København,Faaborg-Midtfyn,2008,0,0
0-4 år,København,Faaborg-Midtfyn,2009,1,0
0-4 år,København,Faaborg-Midtfyn,2010,0,1
0-4 år,København,Faaborg-Midtfyn,2011,2,1
0-4 år,København,Faaborg-Midtfyn,2012,2,3
0-4 år,København,Faaborg-Midtfyn,2013,2,1
0-4 år,København,Faaborg-Midtfyn,2014,0,0
0-4 år,København,Faaborg-Midtfyn,2015,1,0
0-4 år,København,Faaborg-Midtfyn,2016,1,1
0-4 år,København,Faaborg-Midtfyn,2017,1,1
0-4 år,København,Kerteminde,2006,0,2
0-4 år,København,Kerteminde,2007,0,0
0-4 år,København,Kerteminde,2008,1,1
0-4 år,København,Kerteminde,2009,0,0
0-4 år,København,Kerteminde,2010,0,0
0-4 år,København,Kerteminde,2011,1,0
0-4 år,København,Kerteminde,2012,0,0
0-4 år,København,Kerteminde,2013,1,1
0-4 år,København,Kerteminde,2014,0,0
0-4 år,København,Kerteminde,2015,0,0
0-4 år,København,Kerteminde,2016,1,1
0-4 år,København,Kerteminde,2017,0,0
0-4 år,København,Langeland,2006,0,1
0-4 år,København,Langeland,2007,1,1
0-4 år,København,Langeland,2008,1,0
0-4 år,København,Langeland,2009,0,0
0-4 år,København,Langeland,2010,1,0
0-4 år,København,Langeland,2011,0,0
0-4 år,København,Langeland,2012,0,0
0-4 år,København,Langeland,2013,1,0
0-4 år,København,Langeland,2014,0,0
0-4 år,København,Langeland,2015,0,0
0-4 år,København,Langeland,2016,0,0
0-4 år,København,Langeland,2017,0,0
0-4 år,København,Middelfart,2006,0,1
0-4 år,København,Middelfart,2007,1,0
0-4 år,København,Middelfart,2008,0,2
0-4 år,København,Middelfart,2009,0,1
0-4 år,København,Middelfart,2010,0,1
0-4 år,København,Middelfart,2011,1,1
0-4 år,København,Middelfart,2012,0,1
0-4 år,København,Middelfart,2013,1,0
0-4 år,København,Middelfart,2014,0,0
0-4 år,København,Middelfart,2015,0,0
0-4 år,København,Middelfart,2016,0,0
0-4 år,København,Middelfart,2017,3,0
0-4 år,København,Nordfyns,2006,0,0
0-4 år,København,Nordfyns,2007,2,0
0-4 år,København,Nordfyns,2008,2,0
0-4 år,København,Nordfyns,2009,1,0
0-4 år,København,Nordfyns,2010,1,0
0-4 år,København,Nordfyns,2011,1,2
0-4 år,København,Nordfyns,2012,1,0
0-4 år,København,Nordfyns,2013,0,0
0-4 år,København,Nordfyns,2014,0,0
0-4 år,København,Nordfyns,2015,0,0
0-4 år,København,Nordfyns,2016,0,0
0-4 år,København,Nordfyns,2017,1,2
0-4 år,København,Nyborg,2006,0,4
0-4 år,København,Nyborg,2007,0,0
0-4 år,København,Nyborg,2008,0,0
0-4 år,København,Nyborg,2009,2,2
0-4 år,København,Nyborg,2010,1,0
0-4 år,København,Nyborg,2011,0,1
0-4 år,København,Nyborg,2012,1,1
0-4 år,København,Nyborg,2013,1,0
0-4 år,København,Nyborg,2014,0,0
0-4 år,København,Nyborg,2015,2,1
0-4 år,København,Nyborg,2016,1,2
0-4 år,København,Nyborg,2017,0,0
0-4 år,København,Odense,2006,9,13
0-4 år,København,Odense,2007,8,13
0-4 år,København,Odense,2008,17,13
0-4 år,København,Odense,2009,16,12
0-4 år,København,Odense,2010,22,8
0-4 år,København,Odense,2011,15,13
