alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,Frederikssund,København,2006,28,28
0-4 år,Frederikssund,København,2007,18,19
0-4 år,Frederikssund,København,2008,16,11
0-4 år,Frederikssund,København,2009,15,20
0-4 år,Frederikssund,København,2010,13,13
0-4 år,Frederikssund,København,2011,16,17
0-4 år,Frederikssund,København,2012,19,15
0-4 år,Frederikssund,København,2013,20,26
0-4 år,Frederikssund,København,2014,20,11
0-4 år,Frederikssund,København,2015,23,23
0-4 år,Frederikssund,København,2016,26,18
0-4 år,Frederikssund,København,2017,30,23
0-4 år,Furesø,København,2006,50,45
0-4 år,Furesø,København,2007,50,43
0-4 år,Furesø,København,2008,59,46
0-4 år,Furesø,København,2009,47,53
0-4 år,Furesø,København,2010,71,64
0-4 år,Furesø,København,2011,54,36
0-4 år,Furesø,København,2012,70,61
0-4 år,Furesø,København,2013,84,68
0-4 år,Furesø,København,2014,82,57
0-4 år,Furesø,København,2015,74,79
0-4 år,Furesø,København,2016,64,62
0-4 år,Furesø,København,2017,77,70
0-4 år,Gribskov,København,2006,25,20
0-4 år,Gribskov,København,2007,19,20
0-4 år,Gribskov,København,2008,16,18
0-4 år,Gribskov,København,2009,18,19
0-4 år,Gribskov,København,2010,13,14
0-4 år,Gribskov,København,2011,15,13
0-4 år,Gribskov,København,2012,18,14
0-4 år,Gribskov,København,2013,10,9
0-4 år,Gribskov,København,2014,18,15
0-4 år,Gribskov,København,2015,19,12
0-4 år,Gribskov,København,2016,27,20
0-4 år,Gribskov,København,2017,25,13
0-4 år,Halsnæs,København,2006,20,21
0-4 år,Halsnæs,København,2007,19,19
0-4 år,Halsnæs,København,2008,9,5
0-4 år,Halsnæs,København,2009,9,9
0-4 år,Halsnæs,København,2010,9,7
0-4 år,Halsnæs,København,2011,10,4
0-4 år,Halsnæs,København,2012,16,13
0-4 år,Halsnæs,København,2013,8,8
0-4 år,Halsnæs,København,2014,4,5
0-4 år,Halsnæs,København,2015,7,10
0-4 år,Halsnæs,København,2016,13,11
0-4 år,Halsnæs,København,2017,9,16
0-4 år,Helsingør,København,2006,53,41
0-4 år,Helsingør,København,2007,43,40
0-4 år,Helsingør,København,2008,46,39
0-4 år,Helsingør,København,2009,44,49
0-4 år,Helsingør,København,2010,32,33
0-4 år,Helsingør,København,2011,38,36
0-4 år,Helsingør,København,2012,47,30
0-4 år,Helsingør,København,2013,47,38
0-4 år,Helsingør,København,2014,36,31
0-4 år,Helsingør,København,2015,50,44
0-4 år,Helsingør,København,2016,43,33
0-4 år,Helsingør,København,2017,49,64
0-4 år,Hillerød,København,2006,26,36
0-4 år,Hillerød,København,2007,34,39
0-4 år,Hillerød,København,2008,31,36
0-4 år,Hillerød,København,2009,28,30
0-4 år,Hillerød,København,2010,36,31
0-4 år,Hillerød,København,2011,30,22
0-4 år,Hillerød,København,2012,23,25
0-4 år,Hillerød,København,2013,41,37
0-4 år,Hillerød,København,2014,40,30
0-4 år,Hillerød,København,2015,52,49
0-4 år,Hillerød,København,2016,33,44
0-4 år,Hillerød,København,2017,45,39
0-4 år,Hørsholm,København,2006,15,12
0-4 år,Hørsholm,København,2007,14,15
0-4 år,Hørsholm,København,2008,20,18
0-4 år,Hørsholm,København,2009,17,20
0-4 år,Hørsholm,København,2010,19,25
0-4 år,Hørsholm,København,2011,22,24
0-4 år,Hørsholm,København,2012,32,22
0-4 år,Hørsholm,København,2013,29,24
0-4 år,Hørsholm,København,2014,34,36
0-4 år,Hørsholm,København,2015,21,16
0-4 år,Hørsholm,København,2016,26,23
0-4 år,Hørsholm,København,2017,24,25
0-4 år,Rudersdal,København,2006,44,61
0-4 år,Rudersdal,København,2007,39,42
0-4 år,Rudersdal,København,2008,62,54
0-4 år,Rudersdal,København,2009,61,55
0-4 år,Rudersdal,København,2010,101,65
0-4 år,Rudersdal,København,2011,67,62
0-4 år,Rudersdal,København,2012,83,72
0-4 år,Rudersdal,København,2013,87,90
0-4 år,Rudersdal,København,2014,77,73
0-4 år,Rudersdal,København,2015,80,84
0-4 år,Rudersdal,København,2016,75,66
0-4 år,Rudersdal,København,2017,81,91
0-4 år,Bornholm,København,2006,17,16
0-4 år,Bornholm,København,2007,30,13
0-4 år,Bornholm,København,2008,18,19
0-4 år,Bornholm,København,2009,8,10
0-4 år,Bornholm,København,2010,9,11
0-4 år,Bornholm,København,2011,16,12
0-4 år,Bornholm,København,2012,10,16
0-4 år,Bornholm,København,2013,12,9
0-4 år,Bornholm,København,2014,17,14
0-4 år,Bornholm,København,2015,24,13
0-4 år,Bornholm,København,2016,28,20
0-4 år,Bornholm,København,2017,33,23
0-4 år,Christiansø,København,2006,0,0
0-4 år,Christiansø,København,2007,1,1
0-4 år,Christiansø,København,2008,0,0
0-4 år,Christiansø,København,2009,1,1
0-4 år,Christiansø,København,2010,0,0
0-4 år,Christiansø,København,2011,0,0
0-4 år,Christiansø,København,2012,0,0
0-4 år,Christiansø,København,2013,0,1
0-4 år,Christiansø,København,2014,0,0
0-4 år,Christiansø,København,2015,0,0
0-4 år,Christiansø,København,2016,2,0
0-4 år,Christiansø,København,2017,0,0
0-4 år,Greve,København,2006,26,33
0-4 år,Greve,København,2007,32,42
0-4 år,Greve,København,2008,33,20
0-4 år,Greve,København,2009,29,24
0-4 år,Greve,København,2010,38,37
0-4 år,Greve,København,2011,36,30
0-4 år,Greve,København,2012,32,34
0-4 år,Greve,København,2013,25,28
0-4 år,Greve,København,2014,49,42
0-4 år,Greve,København,2015,59,45
0-4 år,Greve,København,2016,68,58
0-4 år,Greve,København,2017,52,51
0-4 år,Køge,København,2006,38,34
0-4 år,Køge,København,2007,33,24
